Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts,Flow_Pkts,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts,Bwd_Pkts,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down_Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts_Avg,Fwd_Pkts_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts_Avg,Bwd_Pkts_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label
255.255.255.255-10.1.100.4-7437-47752-17,10.1.100.4,47752,255.255.255.255,7437,17,06/04/2019 12:39,42336803,29,1,5017,173,173,173,173,0,173,173,173,0,122.5883778,0.70860334,1459889.759,1537856.197,3024140,14,42336789,1512028.179,1539753.399,3024140,18,0,0,0,0,0,0,0,0,0,232,8,0.684983228,0.023620111,173,173,173,0,0,0,0,0,0,0,0,0,0,0,178.7666667,173,173,0,0,0,0,0,0,29,5017,1,173,-1,-1,29,0,0,0,0,0,0,0,0,0,Benign
224.0.0.251-10.1.100.103-5353-5353-17,10.1.100.103,5353,224.0.0.251,5353,17,06/04/2019 12:40,16,1,1,141,141,141,141,141,0,141,141,141,0,17625000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,62500,62500,141,141,141,0,0,0,0,0,0,0,0,0,0,1,211.5,141,141,0,0,0,0,0,0,1,141,1,141,-1,-1,1,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.100-80-42358-6,10.1.100.3,80,10.1.100.100,42358,6,06/04/2019 12:40,1946,0,2,0,0,0,0,0,0,0,0,0,0,0,1027.749229,1946,0,1946,1946,0,0,0,0,0,1946,1946,0,1946,1946,0,0,0,0,0,64,0,1027.749229,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,274,0,0,0,0,0,0,0,0,0,0,xss
224.0.0.1-10.1.100.4-0-0-0,10.1.100.4,0,224.0.0.1,0,0,06/04/2019 12:39,8,1,1,0,0,0,0,0,0,0,0,0,0,0,250000,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125000,125000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.100-80-42356-6,10.1.100.100,42356,10.1.100.3,80,6,06/04/2019 12:39,143,0,2,0,0,0,0,0,0,0,0,0,0,0,13986.01399,143,0,143,143,0,0,0,0,0,143,143,0,143,143,0,0,0,0,0,64,0,13986.01399,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,263,0,0,0,0,0,0,0,0,0,0,xss
157.240.13.54-10.1.100.2-443-50432-6,10.1.100.2,50432,157.240.13.54,443,6,06/04/2019 12:39,25932760,5,7,62,145,31,0,12.4,16.97939928,38,0,20.71428571,19.5338534,7.982181611,0.462735166,2357523.636,4994971.012,13102487,11,25530486,6382621.5,7016467.597,13102487,317929,25932621,4322103.5,6412941.219,13261900,122856,0,1,0,0,160,224,0.192806319,0.269928847,0,38,18.30769231,17.83902377,318.2307692,0,0,0,1,1,0,0,0,1,19.83333333,12.4,20.71428571,0,0,0,0,0,0,5,62,7,145,-1,212,2,0,366384,50756.12475,402274,330494,12441031.5,935439.339,13102487,11779576,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/04/2019 12:40,24,1,1,0,0,0,0,0,0,0,0,0,0,0,83333.33333,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41666.66667,41666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.100-80-42356-6,10.1.100.100,42356,10.1.100.3,80,6,06/04/2019 12:39,7912782,9,9,1791,5869,585,0,199,244.0968046,1976,0,652.1111111,796.8494909,968.0539664,2.274800443,465457.7647,1349362.182,4994734,12,2915392,364424,986035.5032,2804499,12,7912782,989097.75,1903891.576,5005569,118,0,0,0,0,288,304,1.137400222,1.137400222,0,1976,403.1578947,607.9052615,369548.807,0,1,0,0,0,0,0,0,1,425.5555556,199,652.1111111,0,0,0,0,0,0,9,1791,9,5869,-1,263,4,0,0,0,0,0,0,0,0,0,xss
10.1.100.3-10.1.100.100-80-42358-6,10.1.100.100,42358,10.1.100.3,80,6,06/04/2019 12:40,5085109,5,4,625,2006,625,0,125,279.5084972,2006,0,501.5,1003,517.3930392,1.769873566,635638.625,1764029.284,5000897,11,5081356,1270339,2487327.619,5000897,11,80551,26850.33333,43245.57621,76741,69,0,0,0,0,160,144,0.983263092,0.786610474,0,2006,263.1,643.1212863,413604.9889,0,1,0,0,0,0,0,0,0,292.3333333,125,501.5,0,0,0,0,0,0,5,625,4,2006,-1,237,1,0,0,0,0,0,0,0,0,0,xss
10.1.100.3-10.1.100.100-80-37198-6,10.1.100.100,37198,10.1.100.3,80,6,06/04/2019 13:54,5113153,4,7,708,2614,708,0,177,354,1448,0,373.4285714,547.7742409,649.6969678,2.151314463,511315.3,1545606.245,4908878,9,202242,67414,116599.0944,202051,9,5113153,852192.1667,2025181.901,4985237,39,0,0,0,0,140,240,0.782296168,1.369018295,0,1448,276.8333333,463.0045814,214373.2424,0,1,0,0,0,0,0,0,1,302,177,373.4285714,0,0,0,0,0,0,4,708,7,2614,-1,238,1,0,0,0,0,0,0,0,0,0,xss
10.1.100.3-10.1.100.100-80-37198-6,10.1.100.100,37198,10.1.100.3,80,6,06/04/2019 13:54,111,0,2,0,0,0,0,0,0,0,0,0,0,0,18018.01802,111,0,111,111,0,0,0,0,0,111,111,0,111,111,0,0,0,0,0,64,0,18018.01802,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,238,0,0,0,0,0,0,0,0,0,0,xss
224.0.0.251-10.1.100.101-5353-5353-17,10.1.100.101,5353,224.0.0.251,5353,17,06/04/2019 13:54,20778291,17,1,1037,61,61,61,61,0,61,61,61,0,52.84361452,0.866288763,1222252.412,2565262.193,10001751,5,20778278,1298642.375,2629345.747,10001751,5,0,0,0,0,0,0,0,0,0,136,8,0.818161609,0.048127153,61,61,61,0,0,0,0,0,0,0,0,0,0,0,64.38888889,61,61,0,0,0,0,0,0,17,1037,1,61,-1,-1,17,0,1883946.5,167889.0702,2002662,1765231,7503396.5,3533206.818,10001751,5005042,Benign
10.1.100.3-10.1.100.101-80-57682-6,10.1.100.3,80,10.1.100.101,57682,6,06/04/2019 13:55,2677,0,2,0,0,0,0,0,0,0,0,0,0,0,747.1049682,2677,0,2677,2677,0,0,0,0,0,2677,2677,0,2677,2677,0,0,0,0,0,64,0,747.1049682,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,957,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.101-80-57681-6,10.1.100.3,80,10.1.100.101,57681,6,06/04/2019 13:55,2458,0,2,0,0,0,0,0,0,0,0,0,0,0,813.6696501,2458,0,2458,2458,0,0,0,0,0,2458,2458,0,2458,2458,0,0,0,0,0,64,0,813.6696501,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,957,0,0,0,0,0,0,0,0,0,0,Benign
255.255.255.255-10.1.100.4-7437-47752-17,10.1.100.4,47752,255.255.255.255,7437,17,06/04/2019 13:54,48384287,33,1,5709,173,173,173,173,0,173,173,173,0,121.5683926,0.702707472,1466190.515,1534728.997,3024211,9,48384269,1512008.406,1536184.425,3024211,9,0,0,0,0,0,0,0,0,0,264,8,0.682039605,0.020667867,173,173,173,0,0,0,0,0,0,0,0,0,0,0,178.0882353,173,173,0,0,0,0,0,0,33,5709,1,173,-1,-1,33,0,0,0,0,0,0,0,0,0,Benign
224.0.0.1-10.1.100.4-0-0-0,10.1.100.4,0,224.0.0.1,0,0,06/04/2019 13:54,15,1,1,0,0,0,0,0,0,0,0,0,0,0,133333.3333,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66666.66667,66666.66667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.2-52.32.209.197-46976-443-6,10.1.100.2,46976,52.32.209.197,443,6,06/04/2019 13:54,6379579,3,5,35,101,35,0,11.66666667,20.20725942,37,0,20.2,18.56609814,21.31802114,1.254001244,911368.4286,2089413.255,5635581,10,5635888,2817944,3985023.302,5635781,107,6379579,1594894.75,2727052.867,5677897,10,0,1,0,0,96,160,0.470250466,0.783750777,0,37,19.22222222,18.32878732,335.9444444,0,0,0,1,1,0,0,0,1,21.625,11.66666667,20.2,0,0,0,0,0,0,3,35,5,101,-1,118,1,0,376992,0,376992,376992,5635581,0,5635581,5635581,Benign
157.240.13.54-10.1.100.2-443-50432-6,10.1.100.2,50432,157.240.13.54,443,6,06/04/2019 13:54,30536390,5,7,62,145,31,0,12.4,16.97939928,38,0,20.71428571,19.5338534,6.778797363,0.39297376,2776035.455,6209502.154,18857235,87,30199568,7549892,8988436.197,18857235,313784,30536303,5089383.833,8016255.257,18968206,125440,0,1,0,0,160,224,0.163739067,0.229234693,0,38,18.30769231,17.83902377,318.2307692,0,0,0,1,1,0,0,0,1,19.83333333,12.4,20.71428571,0,0,0,0,0,0,5,62,7,145,-1,223,2,0,325303,16290.32602,336822,313784,14780731,5765047.244,18857235,10704227,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,06/04/2019 13:54,28649180,11,1,0,0,0,0,0,0,0,0,0,0,0,0.418860156,2604470.909,4559687.843,13030921,18,15618259,1561825.9,3132723.072,8101960,18,0,0,0,0,0,0,0,0,0,0,0,0.383955143,0.034905013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,-1,-1,0,0,337766,477616.6896,675492,40,9324549.333,3271168.773,13030921,6840767,Benign
10.1.100.3-52.32.209.197-51336-443-6,10.1.100.3,51336,52.32.209.197,443,6,06/04/2019 13:54,6255015,3,5,35,101,35,0,11.66666667,20.20725942,37,0,20.2,18.56609814,21.74255377,1.278973751,893573.5714,2062633.639,5558717,10,5558986,2779493,3930611.435,5558855,131,6255015,1563753.75,2695729.147,5600626,10,0,1,0,0,96,160,0.479615157,0.799358595,0,37,19.22222222,18.32878732,335.9444444,0,0,0,1,1,0,0,0,1,21.625,11.66666667,20.2,0,0,0,0,0,0,3,35,5,101,-1,118,1,0,346168,0,346168,346168,5558717,0,5558717,5558717,Benign
10.1.100.3-10.1.100.101-80-57680-6,10.1.100.101,57680,10.1.100.3,80,6,06/04/2019 13:54,10751100,4,6,560,2031,560,0,140,280,1348,0,338.5,564.9954867,240.9985955,0.930137381,1194566.667,2371389.997,5735445,20,5750682,1916894,3306969.84,5735445,497,10751100,2150220,2954057.04,5742229,20,0,0,0,0,128,208,0.372054953,0.558082429,0,1348,235.5454545,445.7459733,198689.4727,0,1,0,0,0,0,0,0,1,259.1,140,338.5,0,0,0,0,0,0,4,560,6,2031,-1,235,1,0,6890,0,6890,6890,5735445,0,5735445,5735445,Benign
10.1.100.3-10.1.100.101-80-57681-6,10.1.100.101,57681,10.1.100.3,80,6,06/04/2019 13:54,11051198,2,2,0,0,0,0,0,0,0,0,0,0,0,0.361951709,3683732.667,6374668.594,11044565,122,11044565,11044565,0,11044565,11044565,122,122,0,122,122,0,0,0,0,64,80,0.180975854,0.180975854,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,28960,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.101-80-57682-6,10.1.100.101,57682,10.1.100.3,80,6,06/04/2019 13:54,11051243,2,2,0,0,0,0,0,0,0,0,0,0,0,0.361950235,3683747.667,6374638.311,11044545,99,11044545,11044545,0,11044545,11044545,99,99,0,99,99,0,0,0,0,64,80,0.180975117,0.180975117,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,-1,28960,0,0,0,0,0,0,0,0,0,0,Benign
10.1.100.3-10.1.100.101-80-57680-6,10.1.100.101,57680,10.1.100.3,80,6,06/04/2019 13:55,268355,1,1,0,0,0,0,0,0,0,0,0,0,0,7.452814369,268355,0,268355,268355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.726407185,3.726407185,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,1041,0,0,0,0,0,0,0,0,0,0,Benign
255.255.255.255-10.1.100.4-7437-43972-17,10.1.100.4,43972,255.255.255.255,7437,17,11/04/2019 14:16,90738676,61,1,10553,173,173,173,173,0,173,173,173,0,118.2075877,0.683280854,1487519.279,1524638.26,3024920,7,90738662,1512311.033,1525054.929,3024920,7,0,0,0,0,0,0,0,0,0,488,8,0.672260195,0.011020659,173,173,173,0,0,0,0,0,0,0,0,0,0,0,175.7903226,173,173,0,0,0,0,0,0,61,10553,1,173,-1,-1,61,0,0,0,0,0,0,0,0,0,Benign
224.0.0.251-10.1.100.101-5353-5353-17,10.1.100.101,5353,224.0.0.251,5353,17,11/04/2019 14:16,16,1,1,45,45,45,45,45,0,45,45,45,0,5625000,125000,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,62500,62500,45,45,45,0,0,0,0,0,0,0,0,0,0,1,67.5,45,45,0,0,0,0,0,0,1,45,1,45,-1,-1,1,0,0,0,0,0,0,0,0,0,Benign
10.1.100.255-10.1.100.101-137-137-17,10.1.100.101,137,10.1.100.255,137,17,11/04/2019 14:17,23,1,1,50,50,50,50,50,0,50,50,50,0,4347826.087,86956.52174,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,43478.26087,43478.26087,50,50,50,0,0,0,0,0,0,0,0,0,0,1,75,50,50,0,0,0,0,0,0,1,50,1,50,-1,-1,1,0,0,0,0,0,0,0,0,0,Benign
10.1.100.2-10.1.100.4-58211-53-17,10.1.100.2,58211,10.1.100.4,53,17,11/04/2019 14:16,29500,0,2,0,126,0,0,0,0,79,47,63,22.627417,4271.186441,67.79661017,29500,0,29500,29500,0,0,0,0,0,29500,29500,0,29500,29500,0,0,0,0,0,16,0,67.79661017,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,0,86.5,0,63,0,0,0,0,0,0,0,0,2,126,-1,-1,0,0,0,0,0,0,0,0,0,0,Benign
